t	R	z	phi	vR	vz	vphi	E	Lz
0	0.28	0	0	0.18	-1.43701	0.00357143	-0.05	0.001
6.25e-06	0.280001	-8.9813e-06	7.97191e-08	0.179998	-1.43701	0.00357141	-0.05	0.001
199.875	0.353891	6.67696e-06	3.13811	-0.582488	1.30326	0.00282573	-0.05	0.001
398.265	1.68232	-2.49346e-06	-0.00462191	-0.919502	-0.333941	0.000594416	-0.05	0.001
401.18	1.69968	9.28797e-06	3.13664	0.915977	0.330797	0.000588345	-0.05	0.001
599.55	0.354698	-3.52374e-06	-0.00608703	0.58446	-1.30211	0.0028193	-0.05	0.001
799.424	0.280154	2.06386e-06	3.13203	-0.178783	1.43712	0.00356946	-0.05	0.001
999.053	0.552529	-5.24084e-06	-0.0118715	-0.966869	-0.955021	0.00180986	-0.05	0.001
1103.25	19.7599	2.77857e-06	3.12915	-0.0101926	0.0318474	5.06076e-05	-0.05	0.001
1199.29	0.559233	-2.81413e-06	-0.0130146	0.973936	-0.944198	0.00178816	-0.05	0.001
1398.91	0.280071	9.06837e-07	3.12628	0.188352	1.43592	0.00357052	-0.05	0.001
1598.79	0.350197	-4.28531e-06	-0.0188277	-0.571613	-1.30929	0.00285554	-0.05	0.001
1797.27	1.5984	1.26731e-06	3.1216	-0.936706	0.350328	0.000625625	-0.05	0.001
1800.2	1.79287	-6.03629e-06	-0.0203233	0.897328	-0.315094	0.000557765	-0.05	0.001
1998.46	0.359188	6.34644e-06	3.12016	0.59377	1.29639	0.00278405	-0.05	0.001
2198.33	0.281773	-8.97379e-06	-0.0248352	-0.17464	-1.43721	0.00354895	-0.05	0.001
2397.96	0.553449	5.55101e-06	3.11446	-0.96558	0.955834	0.00180685	-0.05	0.001
2502.14	19.7593	-4.45375e-06	-0.0277034	-0.0101636	-0.0319065	5.06092e-05	-0.05	0.001
2598.19	0.560135	3.82081e-06	3.11332	0.972648	0.945038	0.00178528	-0.05	0.001
2797.81	0.281674	-4.64894e-06	-0.030545	0.184225	-1.43604	0.0035502	-0.05	0.001
2997.68	0.354622	5.45512e-06	3.1076	-0.580935	1.30371	0.0028199	-0.05	0.001
3196.07	1.68354	-4.22132e-06	-0.0351331	-0.9191	-0.334148	0.000593988	-0.05	0.001
3198.99	1.6999	8.3037e-06	3.10613	0.915779	0.331183	0.00058827	-0.05	0.001
3397.36	0.355381	-1.90833e-06	-0.036595	0.582798	-1.30263	0.00281388	-0.05	0.001
3597.23	0.281815	3.04373e-06	3.10156	-0.18307	1.43615	0.00354842	-0.05	0.001
3796.85	0.559634	-6.69521e-07	-0.0423121	-0.97195	-0.946025	0.00178688	-0.05	0.001
3893.59	19.7656	6.72601e-06	3.09871	0.00844458	0.0319013	5.0593e-05	-0.05	0.001
3997.09	0.554089	-1.62353e-06	-0.0434524	0.96607	-0.954997	0.00180476	-0.05	0.001
4196.71	0.281901	5.52124e-06	3.09585	0.175097	1.43712	0.00354734	-0.05	0.001
4396.58	0.359175	-1.65116e-06	-0.0491459	-0.59347	-1.29653	0.00278416	-0.05	0.001
4594.85	1.79129	4.30866e-06	3.09134	-0.897627	0.31538	0.000558256	-0.05	0.001
4597.78	1.59983	-6.69228e-06	-0.0505841	0.936392	-0.350081	0.000625065	-0.05	0.001
4796.26	0.350326	1.3547e-06	3.08984	0.57164	1.30923	0.00285448	-0.05	0.001
4996.14	0.280225	-5.39249e-06	-0.0552643	-0.188615	-1.43584	0.00356856	-0.05	0.001
5195.76	0.559793	6.11385e-06	3.08404	-0.974304	0.943515	0.00178637	-0.05	0.001
5291.23	19.7536	-1.66127e-07	-0.058122	0.0116228	-0.0318632	5.06238e-05	-0.05	0.001
5395.99	0.552168	4.23924e-06	3.08289	0.966232	0.955858	0.00181104	-0.05	0.001
5595.62	0.280324	-3.19164e-06	-0.0610103	0.177694	-1.43721	0.0035673	-0.05	0.001
5795.49	0.355463	2.84914e-07	3.07712	-0.586297	1.30103	0.00281323	-0.05	0.001
5993.84	1.7162	-4.33704e-06	-0.0656017	-0.912643	-0.327857	0.000582684	-0.05	0.001
5996.76	1.66631	4.88417e-06	3.07566	0.922765	0.336912	0.000600127	-0.05	0.001
6195.17	0.353154	-4.88321e-06	-0.0670768	0.580606	-1.30435	0.00283163	-0.05	0.001
6395.04	0.279879	6.69476e-08	3.07102	-0.181203	1.43689	0.00357297	-0.05	0.001
